gene,cluster,study,cluster_study,class,timing
KLF6,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MIS18BP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TLR4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ARHGAP25,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FOS,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RIN2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CD83,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
KLF2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HRH1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
GLIPR1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TLR7,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
KLF4,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
UCP2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
SOCS3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
STAT1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CTA-292E10.9,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
IER2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
RGS10,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FCGRT,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CD37,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TPT1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MPEG1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CH25H,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
KCTD12,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ZFP36,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CYBB,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ATF3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DDIT3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NFKBIA,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
DDX3Y,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PLEK,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
